"","lp1","lp2","lp3","time","status","G1","G2","G3","G12","G23","G13","G123"
"1",-2.47204000981439,-0.227675926045228,2.21646534228591,28,0,0,0,1,0,0,0,0
"2",-0.251510020741873,0.534585397149341,-1.23172851832009,28,0,0,1,0,0,0,0,0
"3",-0.908007699842161,0.292764817023687,2.38910941788289,28,0,0,0,0,0,1,0,0
"4",-2.08982500514694,0.913237636572811,-2.06813406774834,28,0,0,1,0,0,0,0,0
"5",-0.998785382378951,-0.402937107991911,-0.722538091776178,28,0,0,0,0,0,0,0,0
"6",0.780760896930419,1.67489080962004,1.951294314764,28,0,0,0,0,0,0,0,1
"7",1.35527843707392,0.31698217410975,-2.62439899159472,4,1,0,0,0,1,0,0,0
"8",0.108244953160381,2.17114116000711,-0.716330253234908,28,0,0,0,0,1,0,0,0
"9",1.6201617221894,-1.11106236734681,0.535715137170471,28,0,0,0,0,0,0,1,0
"10",1.9118456351345,0.670375712591182,3.6047464323736,28,0,0,0,0,0,0,0,1
"11",0.241502149588057,2.88463489698016,-1.63142991984723,28,0,0,0,0,1,0,0,0
"12",0.65593590022032,-1.43846265516963,0.129576428388459,28,0,0,0,0,0,0,1,0
"13",2.73937277593677,0.243381417102948,-1.51424215647348,17,1,0,0,0,1,0,0,0
"14",0.857788001556915,0.764549324740413,1.00182250425548,28,0,0,0,0,0,0,0,1
"15",1.02785452270845,-0.251337660394283,0.505533528872952,28,0,0,0,0,0,0,1,0
"16",1.1207094029539,2.48941383427281,-0.740059330304135,28,0,0,0,0,1,0,0,0
"17",0.290214812827249,-0.424589303382111,1.40574703780269,28,0,0,0,0,0,0,1,0
"18",0.760999360011936,-0.688583160670258,-0.472453743792928,28,0,1,0,0,0,0,0,0
"19",-1.25012250733722,-1.25902127390915,1.36723820946761,28,0,0,0,1,0,0,0,0
"20",0.220616800853685,-0.253522855243437,2.39159305765772,28,0,0,0,0,0,0,1,0
"21",-2.36705716964919,-2.13087505186407,1.05866606160796,28,0,0,0,1,0,0,0,0
"22",1.68414751857158,0.560361875265053,0.241097897587777,28,0,0,0,0,0,0,0,1
"23",-2.05445621835196,1.7597332581438,-2.02917883166548,28,0,0,1,0,0,0,0,0
"24",-1.75100801929983,-1.98817610283132,-0.458509136414138,28,0,0,0,0,0,0,0,0
"25",0.125763169306686,-2.47957799256703,-0.205588445029294,28,0,1,0,0,0,0,0,0
"26",1.87092574400266,4.14686344695523,-2.92469773050701,12,1,0,0,0,1,0,0,0
"27",-1.13791330756784,-1.33584450690692,-0.923597727060339,28,0,0,0,0,0,0,0,0
"28",-0.739525366163517,1.66709008584599,-0.492377838015587,28,0,0,1,0,0,0,0,0
"29",-1.13433586498652,0.741060525635581,0.879148407126663,28,0,0,0,0,0,1,0,0
"30",0.190844737219145,-2.42016596266556,-1.0698155496026,28,0,1,0,0,0,0,0,0
"31",0.0733796892071489,3.89014744889471,-1.02320932445313,7,1,0,0,0,1,0,0,0
"32",0.479284251094006,0.705372679384574,1.64314329544457,28,0,0,0,0,0,0,0,1
"33",-2.26680426647932,-1.72590208617333,-2.24898594992485,28,0,0,0,0,0,0,0,0
"34",1.12654334064861,-0.543873643800986,-0.895338379474732,28,0,1,0,0,0,0,0,0
"35",0.108519385885709,-2.24753555739125,2.70503944591348,28,0,0,0,0,0,0,1,0
"36",-0.607457513416729,1.76846240656093,-0.524301604555523,11,1,0,1,0,0,0,0,0
"37",-1.21146773658729,-1.51589629609681,0.24034066511806,28,0,0,0,1,0,0,0,0
"38",-1.08723146180615,0.936484001828557,2.98319531910737,14,1,0,0,0,0,1,0,0
"39",3.11410002301789,0.73273851724372,-0.223462905396037,28,0,0,0,0,1,0,0,0
"40",0.184899609362996,-0.187480823150519,0.444659329313625,28,0,0,0,0,0,0,1,0
"41",-1.11403638712626,1.87861239138612,-0.450905550201134,28,0,0,1,0,0,0,0,0
"42",0.804945858957119,-0.895079993630198,0.700734757777054,28,0,0,0,0,0,0,1,0
"43",2.18796930523581,-0.916689195802143,1.61257813401035,28,0,0,0,0,0,0,1,0
"44",2.30762602289051,-0.341854718332194,-2.0986509126977,15,1,1,0,0,0,0,0,0
"45",-0.599083783824852,0.674877186808013,-0.689038639488393,28,0,0,1,0,0,0,0,0
"46",2.0308969959798,0.122309254019789,-0.0650944491582969,28,0,0,0,0,1,0,0,0
"47",0.630561136758165,0.655376760207567,-0.917785769471525,28,0,0,0,0,1,0,0,0
"48",-1.83203272787525,0.882201403394133,2.05196883772342,1,1,0,0,0,0,1,0,0
"49",0.569384255021939,-1.15601134695919,-1.04116168081962,28,0,1,0,0,0,0,0,0
"50",0.965415678500367,3.44752932363042,-1.06264895641296,2,1,0,0,0,1,0,0,0
"51",2.55774200862594,1.81870291449067,2.67278412970637,28,0,0,0,0,0,0,0,1
"52",0.318824690487085,-0.184621133317115,2.23038920048777,28,0,0,0,0,0,0,1,0
"53",1.09253441578902,-2.7757187146816,0.0572746428654274,28,0,1,0,0,0,0,0,0
"54",0.820493277220039,0.0240650244749587,0.776213402213962,28,0,0,0,0,0,0,1,0
"55",-0.490181428938956,1.6014959692556,0.543544949728268,28,0,0,0,0,0,1,0,0
"56",0.916187777084444,0.872741715854935,-0.0474519347761289,28,0,0,0,0,1,0,0,0
"57",-0.753481317396916,-1.54228076653177,-0.441258535691213,28,0,0,0,0,0,0,0,0
"58",1.25820038320057,0.415218242081428,-0.985985985798028,28,0,0,0,0,1,0,0,0
"59",0.332347323992864,-1.66205268943195,0.444199278255581,28,0,0,0,0,0,0,1,0
